utm_source,utm_medium,utm_campaign,utm_id,impressions,clicks,cost,date
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_VC30d_18-65+,23855735642540409,11202,342,13.07,2024-11-04
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_FrgtnBasket7d_18-65+,23855735642580409,1137,30,5.97,2024-11-04
facebook,Conv - Category Wide - UA new creo,AP_24-65_Category_Wide_UA,23855735830680409,6085,188,4.6,2024-11-04
facebook,Conv - Non Actions | VC - UA upd,AP_Rem30d-VC30-ATC30-P30_UA,23855735876850409,7041,242,3.73,2024-11-04
facebook,Conv - Wedding - UA upd,AP_24-55_Wedding_UACities,120207657596720410,15046,254,29.37,2024-11-04
facebook,Conv - Int/Beh - UA,AP_24-55_Clothing_UACities,120210683415010410,16685,511,29.83,2024-11-04
facebook,Conv - Wedding - UA | Roas,AP_24-55_Wedding_UACities_roas,120210712676510410,17278,1943,48.05,2024-11-04
facebook,Catalog - Prospective - UA,AP_24-55_JewerlyProcpective_UA_chains,120211194694470410,13322,165,19.12,2024-11-04
facebook,Conv - Wide - UA | Rings,AP_24-55_Wide_UA_Rings,120211195372400410,10994,440,19.3,2024-11-04
facebook,Insta Followers - UA,IG_21-45_Wide_UA_IF,120211699159070410,5356,238,9.03,2024-11-04
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_VC30d_18-65+,23855735642540409,10215,330,13.53,2024-11-05
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_FrgtnBasket7d_18-65+,23855735642580409,1021,45,5.26,2024-11-05
facebook,Conv - Category Wide - UA new creo,AP_24-65_Category_Wide_UA,23855735830680409,6117,194,4.78,2024-11-05
facebook,Conv - Non Actions | VC - UA upd,AP_Rem30d-VC30-ATC30-P30_UA,23855735876850409,6581,198,3.72,2024-11-05
facebook,Conv - Wedding - UA upd,AP_24-55_Wedding_UACities,120207657596720410,15696,276,27.89,2024-11-05
facebook,Conv - Int/Beh - UA,AP_24-55_Clothing_UACities,120210683415010410,16022,422,27.94,2024-11-05
facebook,Conv - Wedding - UA | Roas,AP_24-55_Wedding_UACities_roas,120210712676510410,17236,1977,47.17,2024-11-05
facebook,Catalog - Prospective - UA,AP_24-55_JewerlyProcpective_UA_chains,120211194694470410,13307,134,18.21,2024-11-05
facebook,Conv - Wide - UA | Rings,AP_24-55_Wide_UA_Rings,120211195372400410,11621,437,18.93,2024-11-05
facebook,Insta Followers - UA,IG_21-45_Wide_UA_IF,120211699159070410,4893,221,8.8,2024-11-05
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_VC30d_18-65+,23855735642540409,11662,1138,15.35,2024-11-06
facebook,Dyn Rem - Forgotten Basket | VC upd,AP_DR_FrgtnBasket7d_18-65+,23855735642580409,963,65,5.96,2024-11-06
facebook,Conv - Category Wide - UA new creo,AP_24-65_Category_Wide_UA,23855735830680409,6345,205,4.92,2024-11-06
facebook,Conv - Non Actions | VC - UA upd,AP_Rem30d-VC30-ATC30-P30_UA,23855735876850409,6088,469,4.43,2024-11-06
facebook,Conv - Wedding - UA upd,AP_24-55_Wedding_UACities,120207657596720410,10814,539,31.41,2024-11-06
facebook,Conv - Int/Beh - UA,AP_24-55_Clothing_UACities,120210683415010410,16587,1301,30.92,2024-11-06
facebook,Conv - Wedding - UA | Roas,AP_24-55_Wedding_UACities_roas,120210712676510410,16908,1851,51.02,2024-11-06
facebook,Catalog - Prospective - UA,AP_24-55_JewerlyProcpective_UA_chains,120211194694470410,11569,194,21.02,2024-11-06
facebook,Conv - Wide - UA | Rings,AP_24-55_Wide_UA_Rings,120211195372400410,10405,788,21.04,2024-11-06
facebook,Insta Followers - UA,IG_21-45_Wide_UA_IF,120211699159070410,5494,252,10.01,2024-11-06
